,duration,Text,InteractionType,ID,time,segment,InteractionType1
0,10,Nigeria in February of 2009,Highlight,,21.0,0,0
1,30,Armsdealing 48,Mouse_hover,Armsdealing 48,33.0,0,1
2,19,Armsdealing 85,Mouse_hover,Armsdealing 85,36.4,0,1
3,74,Armsdealing 28,Mouse_hover,Armsdealing 28,64.4,0,1
4,24,Armsdealing 54,Mouse_hover,Armsdealing 54,84.6,0,1
6,10,arms,Search,0,139.2,0,2
7,0, Searching  for documents about arms) (type 1)[bottom-up],Topic_change,bottom-up,139.2,0,3
8,15,Armsdealing 91,Mouse_hover,Armsdealing 91,140.7,0,1
9,13,Armsdealing 90,Mouse_hover,Armsdealing 90,142.2,0,1
10,6,Armsdealing 96,Mouse_hover,Armsdealing 96,144.2,0,1
11,16,Armsdealing 98,Mouse_hover,Armsdealing 98,147.7,0,1
13,7,Armsdealing 102,Mouse_hover,Armsdealing 102,151.9,0,1
14,20,Armsdealing 101,Mouse_hover,Armsdealing 101,152.6,0,1
15,19,Armsdealing 101,Draging,Armsdealing 101,154.7,0,4
16,39,Armsdealing 102,Draging,Armsdealing 102,157.4,0,4
17,43,Armsdealing 68,Draging,Armsdealing 68,162.8,0,4
18,6,Armsdealing 71,Mouse_hover,Armsdealing 71,168.2,0,1
19,29,Armsdealing 69,Draging,Armsdealing 69,171.3,0,4
20,27,Armsdealing 102,Draging,Armsdealing 102,176.0,0,4
21,28,Armsdealing 101,Draging,Armsdealing 101,179.4,0,4
22,6,Armsdealing 69,Mouse_hover,Armsdealing 69,182.6,0,1
23,15,Armsdealing 69,Draging,Armsdealing 69,183.3,0,4
24,21,Armsdealing 68,Draging,Armsdealing 68,185.9,0,4
25,6,Armsdealing 44,Mouse_hover,Armsdealing 44,190.4,0,1
26,6,Armsdealing 36,Mouse_hover,Armsdealing 36,191.5,0,1
27,60,Armsdealing 26,Draging,Armsdealing 26,193.8,0,4
28,87,Armsdealing 68,Mouse_hover,Armsdealing 68,199.9,0,1
30,21,Armsdealing 68,Mouse_hover,Armsdealing 68,216.5,0,1
31,13,Armsdealing 68,Mouse_hover,Armsdealing 68,218.9,0,1
32,66,Armsdealing 68,Mouse_hover,Armsdealing 68,220.5,0,1
34,685,Armsdealing 68,Doc_open,Armsdealing 68,227.2,0,5
35,11,Armsdealing 68,Draging,Armsdealing 68,229.6,0,4
36,308,Armsdealing 68,Reading,Armsdealing 68,236.5,0,6
38,225,Armsdealing 68,Reading,Armsdealing 68,267.8,0,6
42,10,Nigeria,Search,0,311.9,0,2
43,18,Armsdealing 72,Mouse_hover,Armsdealing 72,317.3,0,1
44,8,Armsdealing 24,Mouse_hover,Armsdealing 24,319.1,0,1
45,20,Armsdealing 24,Draging,Armsdealing 24,320.0,0,4
46,21,Armsdealing 72,Draging,Armsdealing 72,323.8,0,4
47,3257,Armsdealing 72,Doc_open,Armsdealing 72,326.9,0,5
48,162,Armsdealing 72,Reading,Armsdealing 72,327.0,1,6
50,0, Who is Minsky) (type 2)[top-down],Topic_change,top-down,328.2,1,3
52,30,Armsdealing 72,Reading,Armsdealing 72,343.8,1,6
53,5,Armsdealing 72,Reading,Armsdealing 72,347.1,1,6
54,9,Armsdealing 72,Reading,Armsdealing 72,347.9,1,6
55,9,Armsdealing 72,Reading,Armsdealing 72,349.2,1,6
56,5,Armsdealing 72,Reading,Armsdealing 72,350.1,1,6
57,45,Armsdealing 72,Reading,Armsdealing 72,350.9,1,6
58,5,Armsdealing 72,Reading,Armsdealing 72,357.4,1,6
59,110,Armsdealing 72,Reading,Armsdealing 72,358.0,1,6
61,104,Armsdealing 72,Reading,Armsdealing 72,383.8,1,6
62,12,Armsdealing 72,Draging,Armsdealing 72,386.4,1,4
63,5,Armsdealing 72,Reading,Armsdealing 72,397.0,1,6
64,25,Armsdealing 72,Reading,Armsdealing 72,397.7,1,6
65,10,Minsky,Search,0,405.6,1,2
66,23,Armsdealing 72,Reading,Armsdealing 72,405.8,1,6
67,13,Armsdealing 65,Draging,Armsdealing 65,409.1,1,4
68,2425,Armsdealing 65,Doc_open,Armsdealing 65,411.3,1,5
69,12,Armsdealing 65,Reading,Armsdealing 65,411.4,1,6
70,64,Armsdealing 65,Reading,Armsdealing 65,412.8,1,6
71,36,Armsdealing 72,Reading,Armsdealing 72,419.4,1,6
72,5,Armsdealing 72,Reading,Armsdealing 72,423.1,1,6
73,20,Armsdealing 65,Reading,Armsdealing 65,423.4,1,6
74,76,Armsdealing 65,Reading,Armsdealing 65,425.5,1,6
75,11,Armsdealing 65,Reading,Armsdealing 65,433.5,1,6
76,8,Armsdealing 65,Draging,Armsdealing 65,433.8,1,4
77,15,Armsdealing 65,Reading,Armsdealing 65,435.0,1,6
78,6,Armsdealing 65,Draging,Armsdealing 65,435.7,1,4
79,21,Armsdealing 72,Reading,Armsdealing 72,436.6,1,6
80,5,Armsdealing 65,Reading,Armsdealing 65,438.8,1,6
81,5,Armsdealing 65,Reading,Armsdealing 65,438.9,1,6
82,5,Armsdealing 72,Reading,Armsdealing 72,439.4,1,6
83,5,Armsdealing 65,Reading,Armsdealing 65,439.7,1,6
84,5,Armsdealing 72,Reading,Armsdealing 72,439.9,1,6
85,18,Armsdealing 65,Reading,Armsdealing 65,440.2,1,6
86,6,Armsdealing 72,Reading,Armsdealing 72,442.1,1,6
87,26,Armsdealing 94,Mouse_hover,Armsdealing 94,443.4,1,1
88,16,Armsdealing 93,Mouse_hover,Armsdealing 93,446.0,1,1
89,11,Armsdealing 37,Mouse_hover,Armsdealing 37,448.0,1,1
90,45,Armsdealing 39,Mouse_hover,Armsdealing 39,449.2,1,1
91,6,Armsdealing 101,Mouse_hover,Armsdealing 101,455.4,1,1
92,11,Armsdealing 72,Reading,Armsdealing 72,456.6,1,6
93,5,Armsdealing 65,Reading,Armsdealing 65,457.7,1,6
94,5,Armsdealing 72,Reading,Armsdealing 72,457.9,1,6
95,5,Armsdealing 65,Reading,Armsdealing 65,458.0,1,6
96,5,Armsdealing 65,Reading,Armsdealing 65,458.3,1,6
97,5,Armsdealing 72,Reading,Armsdealing 72,458.5,1,6
98,23,Armsdealing 69,Mouse_hover,Armsdealing 69,462.9,1,1
